Age,Gender,Education Level,Job Title,Years of Experience,Salary
18.0,Male,Bachelor's,Senior Business Development Manager,18.0,144300.0
38.0,Female,Master's,Senior Researcher,18.0,233300.0
42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0
32.0,Female,Master's,Junior Financial Analyst,18.0,209300.0
39.0,Female,Master's,Junior Designer,18.0,238600.0
35.0,Female,Master's,Senior Project Manager,18.0,215100.0
30.0,Male,Bachelor's,Junior Software Developer,18.0,195300.0
22.0,Male,Bachelor's,Senior Product Manager,18.0,165600.0
39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0
29.0,Male,Bachelor's,Junior Advertising Coordinator,18.0,191700.0
36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0
44.0,Female,PhD,Senior Marketing Analyst,18.0,260400.0
43.0,Female,PhD,Business Analyst,18.0,255300.0
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
36.0,Male,Master's,Senior Human Resources Manager,18.0,218300.0
28.0,Female,Bachelor's,Senior Product Manager,18.0,184100.0
60.0,Female,PhD,Senior Operations Manager,31.0,371800.0
23.0,Male,Bachelor's,Senior Business Development Manager,18.0,167200.0
33.0,Male,Master's,Junior Operations Manager,18.0,203700.0
55.0,Female,PhD,Operations Director,27.0,334100.0
43.0,Female,PhD,Marketing Analyst,18.0,252500.0
22.0,Male,Bachelor's,Product Manager,18.0,156400.0
18.0,Male,Bachelor's,Junior Operations Analyst,18.0,145500.0
50.0,Female,PhD,Senior Marketing Analyst,18.0,279100.0
22.0,Male,Bachelor's,Junior Accountant,18.0,153500.0
22.0,Male,Bachelor's,Director of Operations,18.0,167400.0
18.0,Female,Bachelor's,Senior Financial Analyst,19.0,153200.0
43.0,Male,PhD,Senior HR Manager,18.0,253900.0
40.0,Female,Master's,Social Media Manager,18.0,236000.0
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0
30.0,Female,Bachelor's,Senior Business Analyst,18.0,190200.0
18.0,Female,Bachelor's,Junior Operations Manager,18.0,142800.0
49.0,Male,PhD,Product Marketing Manager,18.0,279000.0
65.0,Female,PhD,Senior Project Coordinator,38.0,417700.0
53.0,Female,PhD,Marketing Analyst,23.0,311400.0
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0
25.0,Female,Bachelor's,Director of Product Management,18.0,177600.0
33.0,Female,Master's,Junior Marketing Manager,18.0,201100.0
54.0,Male,PhD,Junior Marketing Analyst,27.0,334000.0
25.0,Male,Bachelor's,Operations Manager,18.0,172700.0
40.0,Female,Master's,Project Manager,14.0,130000.0
24.0,Male,Bachelor's,VP of Finance,18.0,171000.0
33.0,Male,Master's,Event Coordinator,18.0,209300.0
18.0,Male,Bachelor's,Junior Sales Representative,18.0,150500.0
53.0,Female,PhD,Data Entry Clerk,20.0,298300.0
37.0,Female,Master's,Junior HR Coordinator,18.0,222300.0
44.0,Female,PhD,Director of Sales,18.0,257500.0
21.0,Male,Bachelor's,Senior Product Manager,18.0,158700.0
41.0,Male,Master's,Graphic Designer,18.0,241500.0
32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0
19.0,Male,Bachelor's,Marketing Analyst,18.0,144300.0
19.0,Female,Bachelor's,Product Marketing Manager,18.0,148400.0
31.0,Male,Master's,Junior Operations Coordinator,18.0,202400.0
32.0,Female,Master's,Senior Project Manager,18.0,205300.0
52.0,Male,PhD,Senior Business Development Manager,22.0,310200.0
26.0,Male,Bachelor's,Senior Business Analyst,18.0,180100.0
48.0,Female,PhD,Senior Business Development Manager,21.0,281100.0
57.0,Female,PhD,Senior Business Development Manager,30.0,360200.0
29.0,Female,Bachelor's,Junior Operations Coordinator,18.0,188700.0
62.0,Male,PhD,Junior Marketing Manager,29.0,372300.0
41.0,Female,Master's,Junior Business Analyst,18.0,241400.0
32.0,Male,Master's,Senior Marketing Manager,18.0,198700.0
24.0,Male,Bachelor's,Junior HR Coordinator,18.0,174900.0
32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0
40.0,Female,Master's,Director of Operations,18.0,232100.0
38.0,Male,Master's,Junior Product Manager,18.0,222400.0
39.0,Male,Master's,Senior Data Scientist,18.0,231200.0
40.0,Female,Master's,Senior Manager,18.0,235500.0
27.0,Female,Bachelor's,Junior Marketing Specialist,18.0,186100.0
47.0,Female,Master's,Director of Marketing,20.0,180000.0
31.0,Female,Master's,Junior Business Analyst,18.0,201000.0
21.0,Female,Bachelor's,Software Developer,18.0,155800.0
46.0,Male,PhD,Senior Financial Analyst,18.0,265800.0
18.0,Female,Master's,Senior Consultant,31.0,199600.0
28.0,Female,Bachelor's,Junior Financial Analyst,18.0,188300.0
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0
21.0,Male,Bachelor's,Senior Marketing Specialist,18.0,157500.0
64.0,Male,PhD,Junior Designer,37.0,415100.0
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0
61.0,Female,PhD,Senior Marketing Specialist,27.0,363400.0
33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0
36.0,Male,Master's,Senior Marketing Coordinator,18.0,222800.0
65.0,Male,PhD,Senior Data Scientist,36.0,411900.0
21.0,Female,Bachelor's,Junior Sales Representative,18.0,163300.0
44.0,Female,Master's,Senior Financial Analyst,18.0,249600.0
41.0,Female,Master's,Junior Operations Manager,18.0,239000.0
64.0,Male,PhD,Junior Operations Manager,32.0,393800.0
31.0,Male,Master's,Software Engineer,18.0,204100.0
30.0,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0
34.0,Female,Master's,Junior Data Analyst,18.0,211500.0
27.0,Male,Bachelor's,Technical Recruiter,18.0,178900.0
59.0,Male,PhD,Junior Project Manager,31.0,370100.0
65.0,Female,PhD,Senior Operations Manager,34.0,408300.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
32.0,Female,Master's,Senior UX Designer,18.0,207900.0
18.0,Male,Bachelor's,Software Engineer,20.0,148200.0
29.0,Female,Bachelor's,Software Engineer,18.0,189500.0
32.0,Male,Master's,Senior Operations Manager,18.0,203300.0
40.0,Male,Master's,Senior IT Consultant,18.0,238300.0
35.0,Male,Master's,Junior Operations Analyst,18.0,218600.0
22.0,Male,Bachelor's,Junior Product Manager,18.0,162000.0
51.0,Female,PhD,Senior Software Engineer,24.0,315600.0
27.0,Female,Bachelor's,Director of Marketing,18.0,185400.0
55.0,Male,PhD,Chief Technology Officer,28.0,338300.0
19.0,Female,Bachelor's,Junior Operations Analyst,18.0,150700.0
33.0,Male,Master's,Sales Executive,18.0,209600.0
31.0,Male,Master's,Junior Sales Representative,18.0,199100.0
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0
29.0,Female,Bachelor's,Director of Marketing,18.0,190000.0
33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0
46.0,Male,PhD,Senior Accountant,20.0,271700.0
31.0,Female,Bachelor's,Junior Software Engineer,18.0,197400.0
26.0,Female,Bachelor's,Senior Marketing Analyst,18.0,178700.0
18.0,Female,Bachelor's,Customer Service Representative,19.0,143700.0
53.0,Female,PhD,Junior HR Coordinator,25.0,319400.0
59.0,Male,PhD,Director of Engineering,26.0,350900.0
22.0,Male,Bachelor's,Junior Copywriter,18.0,160200.0
48.0,Male,PhD,Product Manager,22.0,285100.0
47.0,Male,PhD,Senior IT Support Specialist,19.0,266400.0
28.0,Male,Bachelor's,Sales Manager,18.0,181800.0
18.0,Female,Bachelor's,Senior UX Designer,20.0,154200.0
47.0,Female,PhD,Senior Marketing Analyst,18.0,263500.0
46.0,Male,PhD,Senior Business Analyst,18.0,266400.0
36.0,Male,Master's,Digital Content Producer,18.0,215300.0
38.0,Male,Master's,Junior Marketing Coordinator,18.0,224600.0
44.0,Female,PhD,Director of Marketing,19.0,263000.0
37.0,Male,Master's,Junior HR Coordinator,18.0,227400.0
50.0,Male,PhD,Senior Marketing Manager,23.0,300400.0
34.0,Male,Master's,Senior Product Marketing Manager,18.0,218000.0
33.0,Male,Master's,Senior Data Analyst,18.0,209300.0
21.0,Male,Bachelor's,Junior Project Manager,18.0,155500.0
65.0,Female,PhD,Director of Human Capital,43.0,435700.0
39.0,Male,Master's,Operations Director,18.0,221600.0
33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0
41.0,Female,Master's,Senior UX Designer,18.0,242500.0
38.0,Male,Master's,Junior Social Media Specialist,18.0,224200.0
61.0,Male,PhD,Customer Service Rep,29.0,363900.0
47.0,Female,PhD,Senior Marketing Manager,22.0,286400.0
43.0,Female,Master's,Principal Engineer,18.0,248800.0
36.0,Female,Master's,Senior Financial Advisor,18.0,221600.0
42.0,Female,PhD,Director of Operations,21.0,256600.0
26.0,Female,Bachelor's,Junior Customer Support Specialist,18.0,176100.0
63.0,Male,PhD,Junior Project Manager,33.0,391600.0
38.0,Male,Master's,Marketing Analyst,18.0,234500.0
29.0,Female,Bachelor's,Senior Human Resources Manager,18.0,192200.0
28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0
47.0,Male,PhD,Junior Project Manager,18.0,265000.0
22.0,Female,Bachelor's,Junior Product Manager,18.0,164300.0
34.0,Male,Master's,Senior UX Designer,18.0,212600.0
30.0,Female,Bachelor's,Senior Financial Advisor,18.0,190800.0
45.0,Female,PhD,Senior Data Analyst,18.0,253100.0
33.0,Female,Master's,Senior Project Coordinator,18.0,206700.0
32.0,Female,Master's,Senior Data Scientist,18.0,201000.0
29.0,Female,Bachelor's,Sales Associate,3.0,40000.0
47.0,Female,PhD,Senior Product Designer,18.0,273700.0
18.0,Male,Bachelor's,Director of Operations,22.0,165300.0
29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0
42.0,Female,Master's,Senior Software Engineer,18.0,242500.0
29.0,Male,Bachelor's,Software Manager,18.0,190700.0
44.0,Male,PhD,Director of Operations,18.0,255700.0
30.0,Female,Bachelor's,Senior Marketing Analyst,18.0,191600.0
33.0,Male,Master's,Graphic Designer,18.0,206800.0
51.0,Male,PhD,Senior Marketing Analyst,23.0,299400.0
46.0,Female,PhD,Junior Financial Analyst,21.0,272600.0
60.0,Male,PhD,Marketing Coordinator,28.0,360200.0
44.0,Male,PhD,Director of Finance,18.0,252800.0
42.0,Female,Master's,Junior Marketing Analyst,18.0,244000.0
43.0,Female,PhD,Senior Consultant,15.0,140000.0
53.0,Female,PhD,Senior Software Engineer,25.0,324100.0
25.0,Female,Bachelor's,Senior Business Analyst,18.0,175600.0
57.0,Female,PhD,Human Resources Director,29.0,351400.0
42.0,Female,PhD,Junior Product Manager,18.0,252500.0
25.0,Female,Bachelor's,Senior Scientist,18.0,177100.0
43.0,Male,PhD,Marketing Analyst,19.0,251300.0
25.0,Male,Bachelor's,Director,18.0,173200.0
37.0,Male,Master's,Senior Software Architect,9.0,120000.0
27.0,Male,Bachelor's,Director of Operations,18.0,183700.0
27.0,Male,Bachelor's,Director of Product Management,18.0,182600.0
49.0,Male,PhD,Financial Analyst,22.0,296000.0
29.0,Male,Bachelor's,Senior Manager,18.0,194200.0
37.0,Male,Master's,Director of Human Resources,18.0,228400.0
44.0,Male,PhD,Sales Representative,21.0,268800.0
19.0,Male,Bachelor's,Senior Operations Manager,18.0,156900.0
34.0,Female,Master's,Senior Marketing Manager,18.0,213800.0
43.0,Female,Master's,Senior Project Coordinator,18.0,249600.0
36.0,Female,Master's,Senior Software Developer,18.0,216700.0
18.0,Male,Bachelor's,Senior Human Resources Specialist,18.0,142000.0
32.0,Male,Bachelor's,Junior Product Manager,4.0,65000.0
31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0
45.0,Female,PhD,Junior Sales Representative,18.0,258800.0
45.0,Male,PhD,Research Director,16.0,190000.0
26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0
18.0,Male,Bachelor's,Junior HR Generalist,19.0,148300.0
24.0,Female,Bachelor's,Senior Product Marketing Manager,18.0,167800.0
32.0,Female,Master's,Junior UX Designer,18.0,207600.0
48.0,Female,PhD,Senior Marketing Analyst,18.0,269300.0
44.0,Female,PhD,Senior Operations Coordinator,18.0,259900.0
44.0,Female,PhD,Senior UX Designer,15.0,145000.0
33.0,Female,Master's,Senior Data Engineer,18.0,207600.0
32.0,Female,Master's,Junior Business Analyst,18.0,211000.0
29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0
35.0,Male,Master's,Senior Business Analyst,18.0,217600.0
45.0,Female,PhD,Senior UX Designer,16.0,160000.0
34.0,Male,Master's,Marketing Specialist,18.0,213600.0
65.0,Female,PhD,Sales Representative,33.0,399200.0
44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0
18.0,Male,Bachelor's,Project Engineer,18.0,141800.0
61.0,Female,PhD,Senior Project Coordinator,25.0,354900.0
61.0,Male,PhD,Senior Marketing Coordinator,35.0,392300.0
26.0,Female,Bachelor's,Product Marketing Manager,18.0,176800.0
19.0,Male,Bachelor's,Graphic Designer,18.0,144300.0
47.0,Male,PhD,Senior IT Consultant,19.0,270500.0
21.0,Female,Bachelor's,Senior Marketing Manager,18.0,159000.0
23.0,Female,Bachelor's,Junior Sales Representative,18.0,163100.0
18.0,Male,Bachelor's,Software Developer,18.0,148500.0
18.0,Female,Bachelor's,Junior Business Analyst,18.0,147400.0
18.0,Female,Bachelor's,Data Analyst,18.0,143300.0
52.0,Male,PhD,Administrative Assistant,21.0,295000.0
18.0,Male,Bachelor's,Strategy Consultant,18.0,142600.0
41.0,Male,Master's,Junior Web Developer,18.0,243800.0
18.0,Male,Bachelor's,Director of Marketing,18.0,144400.0
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
33.0,Female,Master's,Junior Business Development Associate,18.0,211000.0
42.0,Female,Master's,Junior Product Manager,18.0,243700.0
28.0,Male,Bachelor's,Senior Data Engineer,18.0,186900.0
26.0,Male,Bachelor's,Senior Quality Assurance Analyst,18.0,176000.0
42.0,Female,Master's,Director of Marketing,18.0,245900.0
45.0,Male,PhD,Junior Copywriter,18.0,264100.0
39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0
31.0,Female,Master's,Senior Data Scientist,18.0,199100.0
32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0
42.0,Female,PhD,Senior HR Generalist,18.0,251500.0
21.0,Female,Bachelor's,Senior Account Manager,18.0,154900.0
44.0,Male,PhD,Director of Operations,19.0,260800.0
38.0,Female,Master's,Junior HR Coordinator,18.0,228700.0
36.0,Male,Bachelor's,Senior Product Manager,8.0,95000.0
34.0,Male,Master's,Junior Business Analyst,18.0,215200.0
21.0,Male,Bachelor's,Data Analyst,18.0,155600.0
31.0,Female,Master's,Director of Operations,18.0,200500.0
25.0,Female,Bachelor's,Senior Human Resources Specialist,18.0,174700.0
59.0,Female,PhD,Senior Business Analyst,34.0,382500.0
39.0,Female,Master's,Junior Business Operations Analyst,18.0,232500.0
18.0,Female,Bachelor's,Senior Data Analyst,18.0,144200.0
33.0,Male,Bachelor's,Business Analyst,7.0,75000.0
23.0,Male,Bachelor's,UX Designer,18.0,172400.0
25.0,Male,Bachelor's,Junior Marketing Coordinator,18.0,173800.0
24.0,Female,Bachelor's,Junior Financial Analyst,18.0,169800.0
28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0
31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0
44.0,Female,PhD,Director of Operations,18.0,256700.0
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0
31.0,Male,Master's,Junior Marketing Analyst,18.0,202500.0
38.0,Female,Master's,Senior Marketing Analyst,18.0,230300.0
39.0,Female,Master's,Director of Marketing,18.0,237000.0
49.0,Female,PhD,Sales Manager,18.0,281000.0
36.0,Female,Master's,Creative Director,18.0,225700.0
38.0,Male,Master's,Junior Marketing Analyst,18.0,223200.0
24.0,Female,Bachelor's,Senior Operations Manager,18.0,170800.0
40.0,Female,Master's,Senior Account Manager,18.0,237600.0
27.0,Male,Bachelor's,Senior Operations Manager,18.0,179100.0
31.0,Female,Master's,Senior Scientist,18.0,198700.0
65.0,Female,PhD,Junior Research Scientist,32.0,397300.0
54.0,Male,PhD,Senior Data Scientist,28.0,336400.0
32.0,Female,Master's,Junior HR Generalist,18.0,205600.0
59.0,Male,PhD,Junior Business Development Associate,28.0,359300.0
51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0
40.0,Female,Master's,Junior Operations Manager,18.0,238100.0
65.0,Male,PhD,Sales Associate,51.0,469200.0
42.0,Female,Master's,Account Manager,18.0,244900.0
45.0,Male,PhD,Senior Quality Assurance Analyst,18.0,263800.0
26.0,Female,Bachelor's,Operations Manager,18.0,176100.0
53.0,Female,PhD,Junior Social Media Specialist,25.0,317800.0
51.0,Female,PhD,Marketing Coordinator,18.0,286700.0
53.0,Female,PhD,Senior Data Scientist,22.0,304200.0
37.0,Male,Master's,Director,18.0,224800.0
55.0,Male,PhD,Senior Business Development Manager,27.0,341800.0
55.0,Male,PhD,Senior IT Consultant,26.0,337300.0
29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0
50.0,Male,PhD,Senior Product Manager,22.0,294500.0
41.0,Male,Master's,Junior Data Analyst,18.0,241800.0
46.0,Male,Bachelor's,IT Manager,19.0,120000.0
37.0,Male,Master's,Senior Accountant,18.0,223100.0
43.0,Female,PhD,Senior Business Analyst,18.0,254000.0
36.0,Male,Master's,Junior Product Manager,18.0,216200.0
36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0
32.0,Female,Master's,Senior Business Development Manager,18.0,201400.0
40.0,Male,Master's,Accountant,18.0,239500.0
30.0,Female,Bachelor's,Project Engineer,18.0,196300.0
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
26.0,Female,Bachelor's,Senior Project Coordinator,18.0,180000.0
36.0,Female,Master's,Business Analyst,18.0,223900.0
38.0,Female,Master's,Junior Marketing Coordinator,18.0,232600.0
36.0,Female,Master's,Senior Marketing Manager,18.0,224300.0
,,,,,
35.0,Male,Master's,Senior Data Engineer,18.0,215400.0
30.0,Male,Bachelor's,Senior Financial Manager,18.0,197700.0
38.0,Male,Master's,Junior Web Developer,18.0,225100.0
59.0,Female,PhD,Financial Analyst,32.0,372800.0
35.0,Male,Master's,Junior Financial Analyst,18.0,217900.0
27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0
28.0,Male,Bachelor's,Senior Financial Analyst,18.0,182300.0
23.0,Male,Bachelor's,Senior Marketing Specialist,18.0,159300.0
45.0,Male,PhD,Operations Analyst,18.0,258100.0
25.0,Female,Bachelor's,Copywriter,18.0,176200.0
42.0,Male,Master's,Chief Data Officer,18.0,245600.0
41.0,Male,Master's,Senior Product Manager,18.0,241300.0
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0
35.0,Male,Master's,Senior Manager,18.0,219300.0
62.0,Male,PhD,Senior Project Manager,28.0,372200.0
34.0,Female,Master's,Senior Marketing Coordinator,18.0,213400.0
39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0
36.0,Female,Master's,Creative Director,18.0,223500.0
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0
49.0,Female,PhD,Director of Marketing,20.0,281800.0
18.0,Male,Bachelor's,Junior Marketing Analyst,18.0,146900.0
29.0,Male,Bachelor's,Junior Marketing Specialist,18.0,189400.0
18.0,Female,Bachelor's,VP of Finance,18.0,141100.0
63.0,Male,PhD,Senior Business Analyst,35.0,401000.0
51.0,Male,PhD,Event Coordinator,24.0,307000.0
49.0,Female,PhD,Senior Data Analyst,18.0,274000.0
57.0,Female,PhD,Senior Financial Manager,31.0,364500.0
58.0,Female,PhD,Junior Sales Representative,27.0,344600.0
46.0,Male,PhD,Sales Representative,18.0,263200.0
56.0,Female,PhD,Junior Software Engineer,25.0,333200.0
27.0,Female,Bachelor's,Director of Marketing,18.0,182300.0
37.0,Male,Master's,Senior Data Scientist,18.0,223400.0
42.0,Female,Master's,HR Generalist,18.0,245000.0
34.0,Male,Master's,VP of Operations,18.0,213400.0
34.0,Male,Master's,Junior Web Designer,18.0,211000.0
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0
35.0,Female,Master's,Junior Marketing Analyst,18.0,218200.0
29.0,Male,Bachelor's,Product Designer,18.0,193000.0
52.0,Female,PhD,Senior Marketing Manager,28.0,327600.0
34.0,Female,Master's,Junior Business Analyst,18.0,213400.0
55.0,Male,PhD,Senior Product Designer,19.0,306000.0
21.0,Female,Bachelor's,Senior Marketing Manager,18.0,160100.0
51.0,Female,PhD,Junior Business Development Associate,21.0,293600.0
63.0,Female,PhD,Director of Operations,29.0,372500.0
47.0,Male,Master's,VP of Operations,19.0,190000.0
33.0,Female,Master's,Supply Chain Analyst,18.0,206300.0
65.0,Female,PhD,Director of Finance,32.0,394700.0
38.0,Male,Master's,Sales Manager,18.0,229200.0
48.0,Female,PhD,Principal Scientist,24.0,295400.0
62.0,Male,PhD,Senior Marketing Specialist,25.0,358300.0
42.0,Female,Master's,Sales Associate,18.0,248000.0
30.0,Female,Bachelor's,Junior Software Developer,18.0,186000.0
35.0,Male,Master's,Senior Product Manager,10.0,120000.0
64.0,Male,PhD,Supply Chain Analyst,36.0,412100.0
29.0,Female,Bachelor's,Junior Product Manager,18.0,189900.0
37.0,Male,Bachelor's,Project Manager,10.0,95000.0
43.0,Female,Master's,Junior Business Analyst,18.0,249100.0
30.0,Male,Bachelor's,Network Engineer,3.0,60000.0
34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0
50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0
54.0,Male,PhD,Senior Marketing Analyst,25.0,329500.0
40.0,Male,Master's,Senior Marketing Manager,18.0,231300.0
20.0,Female,Bachelor's,Senior Account Manager,18.0,151700.0
43.0,Female,PhD,Senior UX Designer,18.0,253800.0
39.0,Female,Master's,Senior Research Scientist,18.0,238900.0
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0
38.0,Female,Master's,Senior Product Manager,18.0,229600.0
18.0,Male,Bachelor's,Junior Marketing Coordinator,18.0,139900.0
18.0,Male,Bachelor's,Senior Marketing Manager,18.0,140100.0
18.0,Male,Bachelor's,Junior Developer,18.0,140500.0
50.0,Male,PhD,Director of Marketing,24.0,302500.0
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0
26.0,Male,Bachelor's,Junior Copywriter,18.0,179300.0
27.0,Female,Bachelor's,Junior HR Generalist,18.0,175500.0
20.0,Female,Bachelor's,Director of Marketing,18.0,153100.0
30.0,Female,Bachelor's,Social Media Manager,18.0,198300.0
47.0,Male,Master's,Director of Marketing,19.0,170000.0
31.0,Male,Bachelor's,Junior Project Manager,3.0,55000.0
43.0,Male,Master's,Senior Scientist,18.0,245100.0
42.0,Male,Master's,Junior UX Designer,18.0,244500.0
49.0,Female,Master's,Director of Marketing,21.0,180000.0
36.0,Male,Master's,Senior Project Manager,18.0,226400.0
32.0,Male,Master's,Senior Business Analyst,18.0,204600.0
27.0,Male,Bachelor's,Technical Writer,2.0,45000.0
37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0
43.0,Female,Master's,Senior Financial Manager,18.0,250400.0
31.0,Female,Master's,Director of Marketing,18.0,199500.0
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0
44.0,Male,PhD,Junior Software Developer,21.0,268800.0
54.0,Male,PhD,Software Developer,27.0,332400.0
60.0,Male,PhD,Junior Project Manager,29.0,363000.0
30.0,Male,Master's,Junior Customer Support Specialist,18.0,203100.0
42.0,Female,Master's,Senior Operations Coordinator,18.0,247300.0
52.0,Female,PhD,Senior Product Designer,23.0,304400.0
18.0,Male,Bachelor's,Senior Operations Manager,31.0,194800.0
45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0
42.0,Female,Master's,Senior Business Analyst,18.0,245200.0
37.0,Male,Master's,Director of Marketing,18.0,223700.0
43.0,Male,PhD,Senior Operations Manager,18.0,252000.0
32.0,Male,Master's,Operations Analyst,18.0,204100.0
32.0,Female,Master's,Senior Financial Analyst,18.0,205500.0
18.0,Male,Bachelor's,Senior Financial Manager,19.0,148900.0
38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0
50.0,Female,PhD,Project Manager,18.0,284900.0
42.0,Female,Master's,Senior Business Analyst,18.0,249700.0
24.0,Male,Bachelor's,Senior Product Designer,18.0,168600.0
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0
18.0,Male,Bachelor's,Sales Director,18.0,147300.0
38.0,Female,Master's,Junior Financial Analyst,18.0,232400.0
